"ARO"	"ARO_name"	"resistance_to_drug_classes"	"confers_resistance_to"	"resistance_to_drug_classes_names"	"confers_resistance_to_names"
"ARO:3000005"	"vanD"	"ARO:3000081"	"ARO:0000028,ARO:0000029"	"glycopeptide antibiotic"	"vancomycin,teicoplanin"
"ARO:3000010"	"vanA"	"ARO:3000081"	"ARO:0000028,ARO:0000029"	"glycopeptide antibiotic"	"vancomycin,teicoplanin"
"ARO:3000013"	"vanB"	"ARO:3000081"	"ARO:0000028"	"glycopeptide antibiotic"	"vancomycin"
"ARO:3000024"	"patA"	"ARO:0000001"	"ARO:0000036,ARO:3000662"	"fluoroquinolone antibiotic"	"ciprofloxacin,norfloxacin"
"ARO:3000025"	"patB"	"ARO:0000001"	"ARO:0000036,ARO:3000662"	"fluoroquinolone antibiotic"	"ciprofloxacin,norfloxacin"
"ARO:3000026"	"mepA"	"ARO:0000042,ARO:3000050"	"ARO:0000030"	"glycylcycline,tetracycline antibiotic"	"tigecycline"
"ARO:3000027"	"emrA"	"ARO:0000001"	"ARO:3000661"	"fluoroquinolone antibiotic"	"nalidixic acid"
"ARO:3000074"	"emrB"	"ARO:0000001"	"ARO:3000661"	"fluoroquinolone antibiotic"	"nalidixic acid"
"ARO:3000090"	"Bla1"	"ARO:3000008"	"ARO:"	"penicillin beta-lactam"	""
"ARO:3000118"	"vgaB"	"ARO:0000026,ARO:0000034,ARO:3000670"	"ARO:3000669,ARO:3000674"	"streptogramin antibiotic,streptogramin A antibiotic,pleuromutilin antibiotic"	"virginiamycin M1,dalfopristin"
"ARO:3000124"	"mecI"	"ARO:3000008"	"ARO:0000015"	"penicillin beta-lactam"	"methicillin"
"ARO:3000149"	"FosA"	"ARO:3007149"	"ARO:0000025"	"phosphonic acid antibiotic"	"fosfomycin"
"ARO:3000165"	"tet(A)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000166"	"tet(B)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000167"	"tet(C)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000168"	"tet(D)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000172"	"FosB"	"ARO:3007149"	"ARO:0000025"	"phosphonic acid antibiotic"	"fosfomycin"
"ARO:3000173"	"tet(E)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000174"	"tet(G)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000175"	"tet(H)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000177"	"tet(J)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000178"	"tet(K)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000179"	"tet(L)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000180"	"tetA(P)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000181"	"tet(V)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000182"	"tet(Y)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000183"	"tet(Z)"	"ARO:3000050"	"ARO:0000051"	"tetracycline antibiotic"	"tetracycline"
"ARO:3000186"	"tet(M)"	"ARO:3000050"	"ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668"	"tetracycline antibiotic"	"tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline"
"ARO:3000190"	"tet(O)"	"ARO:3000050"	"ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668"	"tetracycline antibiotic"	"tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline"
"ARO:3000191"	"tet(Q)"	"ARO:3000050"	"ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668"	"tetracycline antibiotic"	"tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline"
"ARO:3000192"	"tet(S)"	"ARO:3000050"	"ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668"	"tetracycline antibiotic"	"tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline"
"ARO:3000193"	"tet(T)"	"ARO:3000050"	"ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668"	"tetracycline antibiotic"	"tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline"
"ARO:3000194"	"tet(W)"	"ARO:3000050"	"ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668"	"tetracycline antibiotic"	"tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline"
"ARO:3000195"	"tetB(P)"	"ARO:3000050"	"ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668"	"tetracycline antibiotic"	"tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline"
"ARO:3000196"	"tet(32)"	"ARO:3000050"	"ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668"	"tetracycline antibiotic"	"tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline"
